NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;;No. Induk;;;;;
1219;PENYALAHGUNAAN ECTASY, MIRAS DAN BAHAYA AIDS DI KALANGAN GENERASI MUDA;;YAYASAN PENERUS NILAI-NILAI LUHUR PERJUANGAN 1945;Jakarta;1997;;;;;;7H;;;;;;;;;;;;;;;
1220;Penyelesaian Perkara Tindak Pidana Korupsi Yang Nilai Kerugian Keuangan Negaranya kecil;"B. Sri Marsita G., S.H. ; Baringin Sianturi S.H., M.H. ; dkk.";Kejaksaan Agung R.I.;Jakarta;2014;978-602-7744-60-8;;;;180;6A;;21;345;MAR;S;;Ada;;;2704;;;;;
1221;PENYELESAIAN SENGKETA KONSUMEN MENURUT UNDANG-UNDANG PERLINDUNGAN KONSUMEN (UUPK) // TEORI DAN PRAKTEK PENEGAKAN HUKUM;YUSUF SHOFIE;PT. Citra Aditya Bakti;Bandung;2003;;;;;;4E;;;;;;;;;;;;;;;
1222;PENYELESAIAN SENGKETA PERBANKAN SYARIAH (DI PENGADILAN AGAMA & MAHKAMAH SYAR'IYAH);Drs. CIK BASIR, S.H., M.H.I.;Kencana;Jakarta;2009;978-979-1486-62-0;;1.,;1.-;172;1E;;23;332.1;BAS;;;ADA;;n;;;;;;
1223;PENYELIDIKAN PENYIDIKAN PENUNTUTAN DAN PEMERIKSAAN DI SIDANG PENGADILAN KASUS KORUPSI;EVI HARTANTI, S.H.;CV. MANDAR MAJU;Bandung;2008;979-538-326-4;;;1.-;xi, 245;2B;;21;345.07;HAR;B;;ADA;;n;;;;;;
1224;PENYEMBUHAN DENGAN WORTEL;Prof. H.M. HEMBING WIJAYAKUSUMA;PUSTAKA POPULER OBOR;Jakarta;2005;;;;;;10D;;;;;;;;;;;;;;;
1225;PENYERTAAN KEUANGAN NEGARA DALAM BUMN DITINJAU DARI PERSPEKTIF UNDANG UNDANG NOMOR 17 TAHUN 2003;B.D. SRI MARSITA G., S.H., Rr. YOENARTI SASONGKO, S.H., J. AMINULLAH ALWAHDY, S.H. Dkk.;PUSLITBANG KEJAGUNG R.I.;Jakarta;2012;;;;;;6A;;;336;MAR;;;ada;;;;;;;;
1226;PENYIDIKAN & PENEGAKAN HUKUM PIDANA (MELALUI PENDEKATAN HUKUM PROGRESIF);HARTONO, S.H., M.H.;Sinar Grafika;Jakarta;2010;978-979-007-351-8;;1.,;1.-;xvi, 212;2B;;21;345;HAR;S;;ada;;n;;;;;;
1227;PENYIDIKAN DAN PENUNTUTAN DALAM PROSES PIDANA;HARUN M. HUSEIN, S.H.;PT. Rineka Cipta;Jakarta;1991;979-518-009-6;;rev.,;1.-;xiv, 346;2C;;20,5;345.5;HUS;B;;ada;;n;dipinjam ribut;;;;;
1228;PENYIDIKAN, PENAHANAN, PENUNTUTAN DAN PRAPERADILAN DALAM TEORI DAN PRAKTEK (UNTUK PRAKTISI, DOSEN DAN MAHASISWA) ;Drs. HARI SASANGKA, S.H., M.H.;CV. MANDAR MAJU;Bandung;2007;979-538-304-3;;;1.-;xv, 351;2C;;21;345;SAS;B;151.450;ada;;n;;;;;;
1229;Penyidik, Penyidik Pembantu Dan Penyidik Pegawai Negeri Sipil Dalam Kajian Hukum Acara Pidana;M. Arief Basuki;;Palangka Raya;2009;;;;;;5B;;;345;BAS;S;;ada;;;;;;;;
1230;PERADILAN ADMINISTRASI NEGARA DAN UPAYA ADMINISTRATIF DI INDONESIA;S.F. MARBUN;LIBERTY;Yogyakarta;1997;979-499-214-3;;1.,;1.-;xviii, 413;3G;;21;353.01;MAR;S;;ada;;;;;;;;
1231;PERADILAN BEBAS NEGARA  HUKUM;Prof. OEMAR SENO ADJI, S.H.;ERLANGGA;Jakarta;1985;;;;;;6E;;;;;;;ada;;;;;;;;
1232;PERADILAN DI INDONESIA DARI ABAD KE ABAD;Mr. R. TRESNA;PRADNYA PARAMITA;Jakarta;1978;;;;;;5G;;;;;;;ada;;;;;;;;
1233;PERADILAN IN ABSENSIA DI INDONESIA;DJOKO PRAKOSO, S.H.;GHALIA INDONESIA;Jakarta;1985;;;;1.-;224;2E;;20,5;347.1;PRA;;;ada;;n;;;;;;
1234;PERADILAN KONEKSITAS DI INDONESIA (SUATU TINJAUAN RINGKAS);SUMARYANTI, S.H.;PT. BINA AKSARA;Jakarta;1987;;;;1.-;ix, 191;2D;2;20,5;347;SUM;;;ada;y;;;;;;;
1235;PERADILAN MILITER;DARWAN PRINSIT, S.H.;PT. Citra Aditya Bakti;Bandung;2003;979-414-892-X;;;1.-;xii, 506;2F;;21;343.1;PRI;;;ADA;y;;;;;;;
1236;Peradilan Yang Sesat;Hermann Mostar;Grafiti Pers;Jakarta;1983;;;;;;5B;;;346.01;346.01;;;;;;;;;;;
1237;Perampasan Aset Hasil Kejahatan // Kumpulan Makalah Jaksa Agung R.I. Tahun 2013;Basrief Arief;Gaung Persada Press;Jakarta;2013;;1;;1.-;;6B;2;;;ARI;s;;ada;;;;;;;;
;Perampasan Harta Hasil Korupsi | Perspektif Hukum Pidana Yang Berkeadilan;Dr. H. Supardi S., S.H., M.H.;Kencana;Jakarta;2018;978-602-422-759-3;;I.,;1.-;;2B;1;23;345,2;SUP;S;;ada;;;;;;;;
1238;Peranan BPK Dan BPKP Menghitung Kerugian Keuangan Negara Dalam Rangka Penanganan Perkara Tindak Pidana Korupsi;Suryadi Agoes, S.H. , Khunaifi Alhumami, S.H. , M.H. , Moh. Anwar, S.H.;Miswar;Jakarta;2013;;;;;;6B;;;3.450.223;OES;s;;ada;;;;;;;;
1239;PERANAN DAN TANGGUNG JAWAB KURATOR DALAM PENGURUSAN DAN PEMBERESAN HARTA PAILIT;IMRAN NATING, S.H., M.H.;PT. Rajagrafindo Persada;Jakarta;2004;979-3654-21-x;;1.,;1.-;xiv, 190;3D;;21;346.078;NAT;S;;ada;;;;;;;;
1240;PERANAN DAN TANGGUNG JAWAB KURATOR DALAM PENGURUSAN DAN PEMBERESAN HARTA PAILIT;IMRAN NATING, S.H., M.H.;PT. Rajagrafindo Persada;Jakarta;2005;979-3654-21-x;;rev.,;2.-;xvi, 342;3D;2;21;346.078;NAT;B;;ada;;;;;;;;
;Peranan Hukum Dalam Pembangunan Ekonomi;Prof. Dr. Drs. H. Abdul Manan, S.H., S.IP., M.Hum.;Kencana;Jakarta;2014;978-602-7985-77-3;;;;;4A;;;343.07;MAN;S;;ada;;;;;;;;
1241;Peranan Intelijen Kejaksaan Dalam LID TPK Dikaitkan Dengan SE-011/A/JA/04/2013;Marsita Sri B., S.H.;Puslitbang Kejagung R.I.;Jakarta;2014;978-602-7744-69-1;;;;vi + 99;6B;1;21;623;MAR;S;;ada;;;;;;;;
1242;Peranan Intelijen Yustisial Dalam Mendukung Penanganan Perkara Tindak Pidana Korupsi;disusun oleh : Estiyarso, S.H. , Abdul Gofar, S.H. , Soeryaniati Koesoemo, S.H.;Puslitbang Kejagung R.I.;Jakarta;2008;;;;;;6F;;;342.023.023;AGU;S;;ada;;;;;;;;
1243;Peranan Jaksa Pengacara Negara dalam Upaya Mengembalikan Kerugian Negara Melalui Gugatan Perdata Berdasarkan UU No. 31 tahun 1999 jo UU No. 20 tahun 2001;--;LIPI Press;Jakarta;2008;978-979-799-273-6;;;;xii, 126;6B;;;340.56;AGU;s;;ada;;;;;;;;
1244;Peranan Kejaksaan Dalam Perlindungan Terhadap Anak Sebagai Korban Pelecehan Seksual;Rr. Yoeniarti Sasongko, S.H. , Sri Hastuti, S.H. , et. al.;Miswar;Jakarta;2013;;;;;;6B;;;362.7;GKO;s;;ada;;;;;;;;
1245;PERANAN WANITA DALAM PERKEMBANGAN MASYARAKAT DESA;PUDJIWATI SOJOGYO;CV. RAJAWALI;Jakarta;1983;;;;;;6C;;;301.34;SAJ;;;ada;;;;;;;;
1246;PERAN ASAS-ASAS UMUM PEMERINTAHAN YANG LAYAK DALAM MEWUJUDKAN PEMERINTAHAN YANG BERSIH;Prof. Dr. H. A. MUIN FAHMAL, S.H., M.H.;KREASI TOTAL MEDIA;Yogyakarta;2008;979-15191-4-5;;;2.-;xxxii, 360;3A;;21;342.4;FAH;B;181.450;ada;;;;;;;;
1247;Peran Jaksa Dalam Sistem Peradilan Pidana di Kawasan Asia Pasifik;RM. Surachman, Jan S. Maringka;Sinar Grafika;Jakarta;2015;978-979-007-624-2;;;1;;6B;;;340,092;MAN;s;;ada;;;;;;;;
1248;PERAN KOMISI KEJAKSAAN R.I. DALAM MENDORONG TERWUJUDNYA KEJAKSAAN YANG LEBIH BAIK;HALIUS HOSEN (KETUA KOMISI KEJAKSAAN R.I.);KOMISI KEJAKSAAN R.I.;Jakarta;2012;;;;;;5D;;;;;;;;;;;;;;;
1249;PERANCANGAN KONTRAK & MEMORANDUM OF UNDERSTANDING (MOU);H. SALIM HS., S.H., M.S. , H. ABDULLAH, S.H. , WIWIEK WAHYUNINGSIH, S.H., M.Kn.;Sinar Grafika;Jakarta;2011;978-979-007-024-0;;1.,;5.-;x, 230;3F;;23;346.02;SAL;S;;ada;;;;;;;;
1250;PERANCANGAN KONTRAK INTERNASIONAL;Prof. HUALA ADOLF, S.H., LL.M., Ph.D.;CV. KENI MEDIA;Bandung;2011;978-602-98456-1-7;;;1.-;viii, 122;3F;;21;346.009;ADO;S;;ada;;;;;;;;
;Peran kejaksaan dalam penangana perkara kepailitan dan penundaan kewajiban pembayaran utang (PKPU) ;Dr.Rudi Margono,SH.M.Hum;yayasan adi dharma;Yogyakarta;2024;978-634-7082-54-1;;;;;3D;;;;MAR;s;;ada;;;;;;;;
1251;PERATURAN BARU PEGAWAI NEGERI SIPIL;;CV. EKO JAYA;Jakarta;2001;;;;;;4D;;;;;;;;;;;;;;;
1252;PERATURAN BARU PERJALANAN DINAS DALAM DAN LUAR NEGERI BAGI PEJABAT NEGARA, PNS DAN PEGAWAI TIDAK TETAP TAHUN 2007;--;CV. TAMITA UTAMA;Jakarta;2008;;;;;;4A;;;;;;;;;;;;;;;
1253;PERATURAN HAK CIPTA NASIONAL;M. HUTAURUK, S.H.;ERLANGGA;Jakarta;1982;;;;;;7B;;;;;;;;;;;;;;;
1254;PERATURAN JABATAN NOTARIS;G.H.S. LUMBAN TOBING, S.H.;ERLANGGA;Jakarta;1992;;;;;;4D;;;;;;;;;;;;;;;
1255;PERATURAN JAKSA AGUNG R.I. NO. : PER-067/A/JA/07/2007 DAN PETUNJUK PELAKSANAAN DAN PETUNJUK TEKNIS JAKSA AGUNG MUDA PENGAWASAN NO. : JUKLAK-01/H/Hjw/05/2009 TENTANG KODE PERILAKU JAKSA;;JAMWAS - KEJAGUNG R.I.;Jakarta;2009;;;;;;6F;4;;;;;;;;;;;;;;
1256;Peraturan Jaksa Agung R.I. No : PER-036/A/JA/09/2011 tentang Standar Operasi Dan Prosedur (SOP) Penanganan Perkara Tindak Pidana Umum;--;KEJAKSAAN AGUNG R.I.;Jakarta;2011;;;;;;6G;;;348;Umu;;;;;;;;;;;
1257;Peraturan Jaksa Agung RI Tahun 2015;--;Kejaksaan Agung RI;Jakarta;2015;;;;;;6G;;;348.02;AGU;DL;;Ada;;;;;;;;
1258;Peraturan Jaksa Agung RI No.: PER-006/A/JA/04/2015 Tentang Pedoman Pelaksanaan Diversi Pada Tingkat Penuntutan;--;Kejaksaan Agung RI;Jakarta;2015;;;;;;6G;;;348.02;AGU;DL;;Ada;;;;;;;;
;Peraturan Jaksa Agung R.I. No : PER-014/A/JA/08/2015 Tentang Pedoman Keprotokolan Dilingkungan Kejaksaan RI;--;Kejaksaan Agung R.I.;Jakarta;2015;;;;;;6G;;;348;AGU;s;;ada;;;;;;;;
1259;Peraturan Jaksa Agung RI No.: PER-018/A/JA/09/2015 Tentang Petunjuk Pelaksanaan Tugas Dan Wewenang Jaksa Agung RI Untuk Melakukan Pencegahan Dan Penangkalan;--;Kejaksaa Agung RI;Jakarta;2015;;;;;;6G;;;348.02;AGU;DL;;Ada;;;;;;;;
1260;Peraturan Jaksa Agung RI No.: PER-025/A/JA/11/2015 Tentang Petunjuk Pelaksanaan Penegakan Hukum, Bantuan Hukum, Pertimbangan Hukum, Tindakan Hukum Lain Dan Pelayanan Hukum Di Bidang Perdata Dan Tata Usaha Negara;--;Kejaksaan Agung RI;Jakarta;2015;;;;;;6G;;;348.02;AGU;DL;;Ada;;;;;;;;
1261;Peraturan Jaksa Agung RI No.: PER-030/A/JA/12/2015 Tentang Pengembangan Organisasi Kejaksaan;--;Kejaksaan Agung RI;Jakarta;2015;;;;;;6G;;;348.02;AGU;DL;;Ada;;;;;;;;
1262;Peraturan Jaksa Agung RI No.: PER-001/A/JA/01/2016 Tentang Rencana Kerja Kejaksaan RI Tahun 2016;--;Kejaksaan Agung RI;Jakarta;2016;;;;;;6G;;;348.02;AGU;DL;;Ada;;;;;;;;
1263;Peraturan Jaksa Agung RI No.: PER-004/A/JA/01/2016 Tentang Road Map Reformasi Birokrasi Kejaksaan RI Tahun 2015-2019;--;Kejaksaan Agung RI;Jakarta;2016;;;;;;6J;;;348.02;AGU;DL;;Ada;;;;;;;;
1264;Peraturan Jaksa Agung RI No.: PER-007/A/JA/08/2016 Tentang Rencana Strategis Kejaksaan RI Tahun 2015-2019;--;Kejaksaan Agung RI;Jakarta;2016;;;;;;6G;;;348.02;AGU;DL;;Ada;;;;;;;;
1265;Peraturan Jaksa Agung RI No.: PER-010/A/JA/09/2016 Tentang Tata Kelola Rumah Susun Sewa Kejaksaan RI;--;Kejaksaan Agung RI;Jakarta;2016;;;;;;6G;;;348.02;AGU;DL;;Ada;;;;;;;;
1266;Peraturan Jaksa Agung RI No.: PER-014/A/JA/11/2016 Tentang Mekanisme Kerja Teknis Dan Administrasi Tim Pengawal Dan Pengaman Pemerintah Dan Pembangunan Kejaksaan RI;--;Kejaksaan Agung RI;Jakarta;2016;;;;;;6G;;;348.02;AGU;DL;;Ada;;;;;;;;
;Peraturan Kejaksaan RI No. 7 Tahun 2019 Tentang Izin Perkawinan Dan Perceraian Pegawai Kejaksaan RI;--;Kejaksaan Agung RI;Jakarta;2019;;;;;;6G;;;348.02;AGU;DL;;Ada;;;;;;;;
;Peraturan Kejaksaan R.I. No. 11 Tahun 2019 Tentang Manajemen Karier Pegawai Kejaksaan RI;--;Kejaksaan Agung RI;Jakarta;2019;;;;;;6G;;;348.02;AGU;DL;;Ada;;;;;;;;
;Peraturan Kejaksaan R.I. No. PER-01 Tahun 2020 Tentang Pedoman Kenaikan Pangkat Pegawai Negeri Sipil Di Lingkungan Kejaksaan R.I.;--;Kejaksaan Agung R.I.;Jakarta;2020;;;;;;6J;;;348;AGU;DL;;Ada;;;;;;;;
;Peraturan Kejaksaan R.I. Tahun 2020 Nomor : PER-02, 03, 04, 05, 08, 09, 10, 15;--;Kejaksaan Agung R.I.;Jakarta;2020;;;;;;6J;;;348;AGU;DL;;Ada;;;;;;;;
;Peraturan Kejaksaan R.I. Nomor 4 Tahun 2020 Tentang Pemberian Tunjangan Kinerja Pegawai Di Lingkungan Kejaksaan R.I.;--;Kejaksaan Agung R.I.;Jakarta;2020;;;;;;6J;;;348;AGU;DL;;Ada;;;;;;;;
;Peraturan Kejaksaan R.I. No. PER-06 Tahun 2020 Tentang Penerapan Manajemen Resiko Di Lingkungan Kejaksaan R.I.;--;Kejaksaan Agung R.I.;Jakarta;2020;;;;;;6J;;;348;AGU;DL;;Ada;;;;;;;;
;Peraturan Kejaksaan R.I. No. PER-07 Tahun 2020 Tentang Peraturan Kedua Atas Peraturan Jaksa Agung No. PER-027-/A/JA/10/2014 Tentang Pedoman Pemulihan Aset;--;Kejaksaan Agung R.I.;Jakarta;2020;;;;;;6J;;;348;AGU;DL;;Ada;;;;;;;;
;Peraturan Kejaksaan R.I. No. PER-13 Tahun 2020 Tentang Perubahan Atas Peraturan Kejaksaan No. PER-002/A/JA/04/2018 Tentang Pakaian Dinas Pegawai Kejaksaan R.I.;--;Kejaksaan Agung R.I.;Jakarta;2020;;;;;;6J;;;348;AGU;DL;;Ada;;;;;;;;
1267;PERATURAN KETENAGAKERJAAN 2003 - 2005 // BUKU 1;dihimpun oleh : HADI SETIA TUNGGAL, S.H.;HARVARINDO;Jakarta;2006;;;;;;4D;;;;;;;;;;;;;;;
1268;PERATURAN KOMISI KEJAKSAAN RI NO. : PER-05/KK/04/2012 TENTANG TATA CARA PENANGANAN LAPORAN PENGADUAN MASYARAKAT KOMISI KEJAKSAAN;--;KOMISI KEJAKSAAN R.I.;Jakarta;2012;;;;;;5D;;;;;;;;;;;;;;;
1269;PERATURAN KOMISI PEMILIHAN UMUM TENTANG PEMILIHAN UMUM PRESIDEN DAN WAKIL PRESIDEN TAHUN 2009;--;GRAHA ILMU;Yogyakarta;2009;;;;;;5E;;;;;;;;;;;;;;;
1270;PERATURAN LELANG;penyusun : EFFENDI PERANGIN, S.H.;ESA STUDY CLUB;Jakarta;1979;;;;;;4A;;;;;;;;;;;;;;;
1271;Peraturan Mahkamah Konstitusi No. 1 tahun 2014 tentang Pedoman Beracara Dalam Perselisihan Hasil Pemilihan Umum Anggota DPR, DPD, dan DPRD;--;MAHKAMAH KONSTITUSI R.I.;Jakarta;2014;;;;;;4B;;;;;;;;;;;;;;;
1272;PERATURAN MAHKAMAH KONSTITUSI NO. 3 TAHUN 2014 TENTANG PERUBAHAN ATAS PERATURAN MK NO. 1 TH. 2014 TENTANG PEDOMAN BERACARA DALAM PERSELISIHAN HASIL PEMILU ANGGOTA DPR, DPD DAN DPRD;--;MAHKAMAH KONSTITUSI R.I.;Jakarta;2014;;;;;;4B;;;;;;;;;;;;;;;
1273;PERATURAN MENTERI DALAM NEGERI NO. 17 TAHUN 2007 TENTANG PEDOMAN TEKNIS PENGELOLAAN BARANG MILIK DAERAH;--;CITRA UMBARA;Bandung;2007;;;;;;4A;;;;;;;;;;;;;;;
1274;PERATURAN MENTERI KEUANGAN NO. 7/PMK.02/2014 TENTANG TATA CARA REVISI ANGGARAN TA. 2014;--;DIRJEN ANGGARAN - KEMENTERIAN KEUANGAN R.I.;Jakarta;2014;;;;;;4A;;;;;;;;;;;;;;;
1275;PERATURAN MENTERI TENAGA KERJA R.I. NO. PER-05/MEN/1993 TENTANG PETUNJUK TEKNIS PENDAFTARAN KEPESERTAAN, PEMBAYARAN IURAN, PEMBAYARAN SANTUNAN, DAN PELAYANAN JAMINAN SOSIAL TENAGA KERJA;--;PT. ASTEK (PERSERO);Jakarta;1993;;;;;;4D;2;;;;;;;;;;;;;;
1276;PERATURAN PELAKSANAAN ADMINISTRASI KEPENDUDUKAN;--;ASA MANDIRI;Jakarta;2007;;;;;;4F;;;;;;;;;;;;;;;
1277;PERATURAN PELAKSANAAN UNDANG-UNDANG KEUANGAN NEGARA;--;CV. EKO JAYA;Jakarta;2005;;;;;;4A;;;;;;;;;;;;;;;
1278;PERATURAN PELAKSANAAN UNDANG-UNDANG PASAR MODAL 2004;dihimpun oleh : HADI SETIA TUNGGAL, S.H.;HARVARINDO;Jakarta;2005;;;;;;4A;;;;;;;;;;;;;;;
1279;PERATURAN PELAKSANAAN UNDANG-UNDANG PASAR MODAL // BUKU I;penghimpun : IMAN SJAHPUTRA TUNGGAL, S.H., CN., LLM. , Drs. ARIF DJOHAN TUNGGAL, S.H., CN. , Drs. AMIN WIDJAJA TUNGGAL Ak, MBA.;HARVARINDO;Jakarta;2001;;;;;;6D;;;348;TUN;;;;;;;;;;;
1280;PERATURAN PELAKSANAAN UNDANG-UNDANG PERBENDAHARAAN NEGARA;;BP. CIPTA JAYA;Jakarta;2005;;;;;;7D;;;;;;;;;;;;;;;
1281;PERATURAN PEMERINTAH PENGGANTI UNDANG-UNDANG R.I. TENTANG PEMBERANTASAN TINDAK PIDANA TERORISME // PADA PERISTIWA PELEDAKAN BOM DI BALI 12 OKTOBER 2002;--;NOVINDO PUSTAKA MANDIRI;Jakarta;2002;;;;;;5C;;;;;;;;;;;;;;;
1282;Peraturan Pemerintah Pengganti UU RI No.1 Tahun 2016 Tentang Perubahan Kedua Atas UU No.23 Tahun 2002 Tentang Perlindungan Anak;CV.CIPTA MEDIA INDONESIA;CV.CIPTA MEDIA INDONESIA;Jakarta;2016;;;;;;4D;1;;348;IND;;;ADA;;;;;;;;
1473;Peraturan Pemerintah Pengganti UU RI No.1 Tahun 2016 Tentang Perubahan Kedua Atas UU No.23 Tahun 2002 Tentang Perlindungan Anak;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1283;Peraturan Pemerintah Pengganti Undang-undang R.I. Nomor 1 Tahun 2017 Tentang Akses Informasi Keuangan Untuk Kepentingan Perpajakan;--;Kemenkum & HAM;Jakarta;2017;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1474;Peraturan Pemerintah Pengganti UU RI No.2 Tahun 2017 Tentang Perubahan Atas UU No.17 Tahun 2013 Tentang Organisasi Kemasyarakatan;--;Kemenkum & HAM;Jakarta;2016;;;;;;4H;;;348.02;HAM;DL;;Ada;;;;;;;;
1;Peraturan Pemerintah R.I. No. 6 Tahun 2005 Tentang Pemilihan, Pengesahan Pengangkatan Dan Pemberhentian Kepala Daerah Dan Wakil Kepala Daerah;--;CV. EKO JAYA;Jakarta;2005;;;;;;4B;;;;;;;;;;;;;;;
2;Peraturan Pemerintah R.I. No. 10 Tahun 1993 Tentang Pelaksanaan Undang-undang No. 5 Tahun 1992 Tentang Benda Cagar Budaya;--;DEPDIKBUD;Jakarta;1993;;;;;;4B;;;;;;;;;;;;;;;
1286;Peraturan Pemerintah R.I. No. 14 Tahun 1993 Tentang Penyelenggaraan Program Jaminan Sosial Tenaga Kerja;--;PT. ASTEK (PERSERO);Jakarta;1993;;;;;;4D;2;;;;;;;;;;;;;;
1287;Peraturan Pemerintah R.I. No. 27 Tahun 1983 Tentang Pelaksanaan KUHAP;--;Akademika Pressindo;Jakarta;1983;;;;;;4H;;;;;;;;;;;;;;;
1288;Peraturan Pemerintah R.I. No. 27 Tahun 1991 Tentang Rawa;--;Direktorat Rawa - Departemen Pekerjaan Umum;Jakarta;1991;;;;;;4H;;;;;;;;;;;;;;;
1289;Peraturan Pemerintah R.I. No. 35 Tahun 1991 Tentang Sungai;--;Direktorat Sungai - Departemen Pekerjaan Umum;Jakarta;1991;;;;;;4H;2;;;;;;;;;;;;;;
1290;Peraturan Pemerintah R.I. Tentang Lembaga Penyiaran Asing, Swasta, Komunitas, Berlangganan, Radio Dan Televisi;--;CV. Citra Utama;Jakarta;2006;;;;;;4F;;;;;;;;;;;;;;;
1291;Peraturan Pemerintah R.I. Tentang Perubahan Atas Peraturan Pemerintah Tentang Peraturan Gaji Pegawai Negeri Sipil, TNI, POLRI DAN Hakim (PP No. 66, 67, 68 Dan 70 TH. 2005);--;BP. Cipta Jaya;Jakarta;2006;;;;;;4F;;;;;;;;;;;;;;;
1292;Peraturan Pemerintah Tahun 2005 Tentang Pegawai Negeri Sipil;--;Citra Umbara;Bandung;2006;;;;;;4F;;;;;;;;;;;;;;;
1293;Peraturan Pemerintah RI No.1 Tahun 2014 Tentang Perubahan Kedua Atas Peraturan Pemerintah RI No.23 Tahun 2010 Tentang Pelaksanaan Kegiatan Usaha Pertambangan Mineral Dan Batubara;--;Kemenkum & HAM;Jakarta;2014;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1294;Peraturan Pemerintah RI No.2 Tahun 2014 Tentang Perizinan Instalasi Nuklir Dan Pemenfaatan Bahan Nuklir;--;Kemenkum & HAM;Jakarta;2014;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1295;Peraturan Pemerintah RI No.3 Tahun 2014 Tentang Pelaksanaan Undang-undang No.15 Tahun 1997 Tentang Ketransmigrasian Sebagaimana Telah Diubah Dengan Undang-undang No.29 Tahun 2009 Tentang Perubahan Atas Undang-undang No.15 Tahun 1997 Tentang Ketransmigrasian;--;Kemenkum & HAM;Jakarta;2014;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1296;Peraturan Pemerintah RI No.71 Tahun 2014 Tentang Perlindungan Dan Pengelolaan Ekosistem Gambut;--;Kemenkum & HAM;Jakarta;2014;;;;;;4H;;;348.02;HAM;DL;;;;;2686;;;;;
1297;Peraturan Pemerintah RI No.72 Tahun 2014 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Saham Perusahaan Perseroan (Persero) PT Perkebunan Nusantara III;--;Kemenkum & HAM;Jakarta;2014;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1298;Peraturan Pemerintah No.73 Tahun 2014 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Perusahaan Umum (Perum) Kehutanan Negara;--;Kemenkum & HAM;Jakarta;2014;;;;;;;;;;;;;;;;2685;2689?;;;;
1299;Peraturan Pemerintah RI No.173 Tahun 2014 Tentang Tentang Pengesahan Memorandum Saling Pengertian Antara Pemerintah RI Dan Pemerintah Republik Rakyat Tiongkok Tentang Kerja Sama Ilmiah Dan Teknologi;--;Kemenkum & HAM;Jakarta;2014;;;;;;4G;;;348.02;HAM;DL;;Ada;;;;;;;;
1300;Peraturan Pemerintah RI No.48 Tahun 2015 Tentang Penambahan Modal Negara RI Ke Dalam Modal Badan Penyelenggara Jaminan Sosial Kesehatan;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;2709;;;;;
1301;Peraturan Pemerintah RI No.49 Tahun 2015 Tentang Penambahan Penyertaan Modal Negara RI Ke Dalam Modal Perusahaan Umum (Perum) Bulog;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;2712;;;;;
1302;Peraturan Pemerintah RI No.50 Tahun 2015 Tentang Pemberdayaan Nelayan Kecil Dan Pembudidaya - Ikan Kecil;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;2722;;;;;
1303;Peraturan Pemerintah RI No.51 Tahun 2015 Tentang Statuta Universitas Padjadjaran;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;;;;;;
1304;Peraturan Pemerintah RI No.52 Tahun 2015 Tentang Statuta Universitas Diponegoro;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;2713;;;;;
1305;Peraturan Pemerintah RI No.53 Tahun 2015 Tentang Statuta Universitas Hasanuddin;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;2717;;;;;
1306;Peraturan Pemerintah RI No.54 Tahun 2015 Tentang Statuta Institut Teknologi Sepuluh November;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;2719;;;;;
1307;Peraturan Pemerintah RI No.55 Tahun 2015 Tentang Perubahan Atas Peraturan Pemerintah No.99 Tahun 2013 Tentang Pengelolaan Aset Jaminan Sosial Ketenagakerjaan;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;2721;;;;;
1308;Peraturan Pemerintah RI No.57 Tahun 2015 Tentang Sistem Jaminan Mutu Dan Keamanan Hasil Perikanan Serta Peningkatan Nilai Tambah Produk Hasil Perikanan;--;Kemenkum & HAM;Jakarta;2015;;;;;;4H;;;348.02;HAM;DL;;;;;2718;;;;;
